#FEATURE_ID	MI.M05812_0379.001.FLD_ill_100_i7---IDT_i5_5.Mesocosm-1-Aug-18-2021	MI.M05812_0379.001.FLD_ill_101_i7---IDT_i5_5.Mesocosm-1-Sep-1-2021	MI.M05812_0379.001.FLD_ill_108_i7---IDT_i5_6.Mesocosm-2-Aug-18-2021	MI.M05812_0379.001.FLD_ill_109_i7---IDT_i5_6.Mesocosm-2-Sep-1-2021	MI.M05812_0379.001.FLD_ill_116_i7---IDT_i5_7.Mesocosm-3-Aug-18-2021	MI.M05812_0379.001.FLD_ill_117_i7---IDT_i5_7.Mesocosm-3-Sep-1-2021	MI.M05812_0379.001.FLD_ill_124_i7---IDT_i5_8.Mesocosm-4-Aug-18-2021	MI.M05812_0379.001.FLD_ill_125_i7---IDT_i5_8.Mesocosm-4-Sep-1-2021	MI.M05812_0379.001.FLD_ill_132_i7---IDT_i5_9.Mesocosm-5-Aug-18-2021	MI.M05812_0379.001.FLD_ill_133_i7---IDT_i5_9.Mesocosm-5-Sep-1-2021	MI.M05812_0379.001.FLD_ill_140_i7---IDT_i5_10.Mesocosm-6-Aug-18-2021	MI.M05812_0379.001.FLD_ill_141_i7---IDT_i5_10.Mesocosm-6-Sep-1-2021	MI.M05812_0379.001.FLD_ill_148_i7---IDT_i5_11.Mesocosm-7-Aug-18-2021	MI.M05812_0379.001.FLD_ill_149_i7---IDT_i5_11.Mesocosm-7-Sep-1-2021	MI.M05812_0379.001.FLD_ill_156_i7---IDT_i5_12.Mesocosm-8-Aug-18-2021	MI.M05812_0379.001.FLD_ill_157_i7---IDT_i5_12.Mesocosm-8-Sep-1-2021	MI.M05812_0379.001.FLD_ill_164_i7---IDT_i5_1.Mesocosm-9-Aug-18-2021	MI.M05812_0379.001.FLD_ill_165_i7---IDT_i5_1.Mesocosm-9-Sep-1-2021	MI.M05812_0379.001.FLD_ill_172_i7---IDT_i5_2.Mesocosm-10-Aug-18-2021	MI.M05812_0379.001.FLD_ill_173_i7---IDT_i5_2.Mesocosm-10-Sep-1-2021	MI.M05812_0379.001.FLD_ill_180_i7---IDT_i5_3.Mesocosm-11-Aug-18-2021	MI.M05812_0379.001.FLD_ill_181_i7---IDT_i5_3.Mesocosm-11-Sep-1-2021	MI.M05812_0379.001.FLD_ill_188_i7---IDT_i5_4.Mesocosm-12-Aug-18-2021	MI.M05812_0379.001.FLD_ill_189_i7---IDT_i5_4.Mesocosm-12-Sep-1-2021	MI.M05812_0392.001.FLD_ill_001_i7---IDT_i5_6.M1-13-07-21	MI.M05812_0392.001.FLD_ill_002_i7---IDT_i5_6.M1-30-07-21	MI.M05812_0392.001.FLD_ill_003_i7---IDT_i5_6.M1-13-10-21	MI.M05812_0392.001.FLD_ill_009_i7---IDT_i5_7.M2-13-07-21	MI.M05812_0392.001.FLD_ill_010_i7---IDT_i5_7.M2-30-07-21	MI.M05812_0392.001.FLD_ill_011_i7---IDT_i5_7.M2-13-10-21	MI.M05812_0392.001.FLD_ill_017_i7---IDT_i5_8.M3-13-07-21	MI.M05812_0392.001.FLD_ill_018_i7---IDT_i5_8.M3-30-07-21	MI.M05812_0392.001.FLD_ill_019_i7---IDT_i5_8.M3-13-10-21	MI.M05812_0392.001.FLD_ill_025_i7---IDT_i5_9.M4-13-07-21	MI.M05812_0392.001.FLD_ill_026_i7---IDT_i5_9.M4-30-07-21	MI.M05812_0392.001.FLD_ill_027_i7---IDT_i5_9.M4-13-10-21	MI.M05812_0392.001.FLD_ill_033_i7---IDT_i5_10.M5-13-07-21	MI.M05812_0392.001.FLD_ill_034_i7---IDT_i5_10.M5-30-07-21	MI.M05812_0392.001.FLD_ill_035_i7---IDT_i5_10.M5-13-10-21	MI.M05812_0392.001.FLD_ill_041_i7---IDT_i5_11.M6-13-07-21	MI.M05812_0392.001.FLD_ill_042_i7---IDT_i5_11.M6-30-07-21	MI.M05812_0392.001.FLD_ill_043_i7---IDT_i5_11.M6-13-10-21	MI.M05812_0392.001.FLD_ill_049_i7---IDT_i5_12.M7-13-07-21	MI.M05812_0392.001.FLD_ill_050_i7---IDT_i5_12.M7-30-07-21	MI.M05812_0392.001.FLD_ill_051_i7---IDT_i5_12.M7-13-10-21	MI.M05812_0392.001.FLD_ill_057_i7---IDT_i5_1.M8-13-07-21	MI.M05812_0392.001.FLD_ill_058_i7---IDT_i5_1.M8-30-07-21	MI.M05812_0392.001.FLD_ill_059_i7---IDT_i5_1.M8-13-10-21	MI.M05812_0392.001.FLD_ill_065_i7---IDT_i5_2.M9-13-07-21	MI.M05812_0392.001.FLD_ill_066_i7---IDT_i5_2.M9-30-07-21	MI.M05812_0392.001.FLD_ill_067_i7---IDT_i5_2.M9-13-10-21	MI.M05812_0392.001.FLD_ill_074_i7---IDT_i5_3.M10-30-07-21	MI.M05812_0392.001.FLD_ill_075_i7---IDT_i5_3.M10-13-10-21	MI.M05812_0392.001.FLD_ill_081_i7---IDT_i5_4.M11-13-07-21	MI.M05812_0392.001.FLD_ill_082_i7---IDT_i5_4.M11-30-07-21	MI.M05812_0392.001.FLD_ill_083_i7---IDT_i5_4.M11-13-10-21	MI.M05812_0392.001.FLD_ill_089_i7---IDT_i5_5.M12-13-07-21	MI.M05812_0392.001.FLD_ill_091_i7---IDT_i5_5.M12-13-10-21	taxonomy
14	326	472	457	1016	640	9	246	217	605	34	197	281	0	669	1019	693	84	66	46	119	895	1229	1618	1090	0	511	44	0	969	0	0	865	156	0	198	63	0	72	0	0	1531	63	0	1706	19	0	0	29	0	709	0	854	40	0	85	51	0	95	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium;
15	0	0	170	14	0	7	0	0	142	0	45	83	295	0	30	0	0	0	38	0	0	0	145	63	0	9666	0	0	133	0	0	469	0	0	3666	0	0	330	0	0	86	14	0	98	0	0	152	0	0	1847	0	1799	0	0	0	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
16	310	273	73	82	20	2463	28	142	0	911	68	177	262	1061	0	32	767	2952	272	1357	29	147	266	1443	0	28	43	0	0	230	0	45	15	0	0	452	0	0	343	0	62	469	0	52	1025	0	0	305	0	0	1320	49	121	0	0	100	0	852	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;
17	0	0	37	0	0	0	0	0	72	0	0	0	0	0	110	4	0	0	0	0	0	0	0	0	9292	0	0	24	0	55	30	0	0	0	0	0	2611	796	0	167	0	0	0	0	0	726	658	10	1779	0	0	0	0	1702	68	0	194	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;
18	91	1001	0	0	1379	50	89	931	250	1067	43	66	0	48	0	1303	1772	837	3593	3577	131	763	0	0	0	0	32	0	0	0	0	0	22	0	0	674	0	0	57	0	0	0	0	0	31	0	0	195	0	0	0	0	93	0	0	75	0	154	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Candidatus Aquirestis;
19	9	0	20	0	6	0	0	0	0	0	10	0	16	0	77	0	0	6	90	9	41	0	17	13	0	117	0	3065	284	0	0	282	0	81	189	0	876	1475	0	1227	397	0	4364	370	0	126	113	0	0	252	0	320	0	896	131	0	2204	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__uncultured-Sphingomonadaceae;
20	504	19	89	9	568	368	241	0	278	160	5974	0	4272	0	47	56	40	481	142	588	64	14	1896	0	0	32	0	0	0	0	0	116	0	0	17	0	0	0	0	0	61	0	0	54	15	0	0	0	0	112	0	31	0	0	7	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__MWH-UniP1 aquatic group;g__MWH-UniP1 aquatic groupFA;
21	490	1039	0	0	113	0	0	714	0	0	0	0	0	0	0	88	0	0	0	0	0	124	0	0	0	0	484	0	0	0	0	0	8104	0	0	0	0	0	0	0	0	0	0	0	63	0	0	95	0	0	0	0	334	0	0	299	0	0	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium PCC-6307;
22	4	0	35	357	0	0	0	0	6	0	4	48	9	1128	30	118	7	4	9	8	0	0	157	88	204	23	6	278	65	2446	0	57	0	81	242	49	236	396	87	91	170	854	1002	140	587	265	36	79	742	34	370	488	24	144	148	18	101	82	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Emticicia;
23	96	559	6	21	67	34	125	181	1047	1202	142	98	0	0	0	1356	16	0	34	0	1908	171	59	522	0	0	1099	0	0	6	0	0	230	0	0	638	0	0	466	0	0	0	0	0	0	0	0	261	0	0	16	0	82	0	0	48	0	134	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter;
24	163	438	674	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	470	0	0	285	944	0	1714	2278	0	0	0	0	0	161	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	1222	758	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;
25	763	218	418	152	68	0	41	320	249	429	152	144	46	18	32	79	2892	1010	496	842	0	39	113	49	0	38	202	0	93	0	0	28	0	0	0	0	0	0	0	0	37	68	0	38	0	0	0	0	0	40	669	54	124	0	0	96	0	84	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium PCC-6307;
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	6724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	172	0	0	0	0	0	95	0	0	0	0	0	0	90	0	0	2451	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
27	0	0	35	88	0	0	66	0	0	0	0	0	0	0	77	29	0	0	0	0	0	0	0	0	315	243	0	301	956	0	7	42	0	1189	1320	0	242	124	0	0	0	0	200	0	0	1852	1736	0	23	0	0	61	0	209	86	0	51	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;
28	3	0	6	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	1559	19	0	0	0	0	56	252	0	67	952	0	0	0	0	561	0	0	25	104	0	0	0	0	0	0	225	176	0	4467	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Aurantisolimonas;
29	0	0	0	89	0	0	0	105	0	176	129	373	626	1307	150	271	360	228	92	239	0	142	0	0	38	0	0	35	203	0	0	414	0	0	0	154	0	0	79	182	635	932	122	575	59	0	0	31	0	310	0	228	0	0	0	0	0	79	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales Incertae Sedis;g__Rhizobiales Incertae SedisFA;
30	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	41	434	0	36	0	0	12	4	0	0	0	1124	75	0	0	5253	0	0	31	800	0	16	0	0	452	0	2	0	0	0	0	0	0	0	0	23	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
33	0	0	64	3	0	0	0	0	47	0	104	0	0	31	0	0	0	0	0	0	0	0	0	0	0	25	0	833	20	0	16	33	0	215	0	0	1738	0	0	483	38	0	0	71	0	449	0	0	0	0	0	0	0	1532	58	0	2211	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Caenimonas;
34	0	0	0	129	0	0	0	0	121	0	0	39	77	102	720	131	0	0	0	0	340	779	0	49	0	0	0	286	90	2773	0	0	0	0	0	36	0	0	0	195	128	171	0	114	53	0	23	115	0	0	0	0	42	80	153	56	0	951	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;
35	135	241	101	114	110	166	104	221	142	137	0	68	234	587	238	536	153	108	53	181	80	297	148	104	0	494	45	0	675	0	0	397	0	0	0	257	0	0	0	0	379	79	0	334	45	0	0	48	0	238	0	329	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales Incertae Sedis;g__Rhizobiales Incertae SedisFA;
36	39	18	0	0	0	224	173	0	257	33	0	68	92	0	178	0	45	75	120	38	254	157	85	158	0	98	0	0	276	446	0	304	0	0	1165	0	0	1077	0	0	504	124	0	499	0	0	0	0	0	256	40	341	0	0	113	0	0	92	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;
37	0	0	0	0	0	7184	11	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnohabitans;
38	256	88	112	145	110	190	92	57	174	88	144	0	61	0	731	171	43	11	32	0	127	206	112	248	0	71	0	0	520	428	0	74	0	0	0	144	21	60	59	0	198	144	0	205	0	36	28	0	16	72	205	87	66	104	140	0	0	726	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;
39	18	25	40	605	0	0	0	0	0	0	0	80	22	176	0	0	0	0	0	0	0	0	522	2514	0	0	551	0	0	1267	0	0	0	0	2	8	0	0	0	0	0	279	0	0	16	0	0	0	0	0	7	0	8	0	0	7	0	212	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Haliscomenobacter;
40	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	22	0	0	13	0	0	0	23	16	30	0	6	27	0	0	0	19	0	0	0	0	0	0	0	0	0	27	9	0	6092	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
41	0	0	0	2773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	34	0	0	129	0	0	294	0	0	729	17	0	471	0	0	183	0	0	815	0	229	0	68	231	0	196	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Roseateles;
43	15	10	204	61	37	0	0	0	0	0	37	0	60	160	35	0	0	0	0	0	0	0	721	155	0	210	0	0	1055	0	0	107	0	0	0	0	0	0	0	0	1423	0	0	1372	0	0	0	0	0	68	0	101	0	0	6	0	0	0	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__uncultured-Isosphaeraceae;
44	41	35	121	581	0	37	29	28	11	23	54	316	69	0	26	0	73	94	18	108	84	437	0	153	0	0	6	0	360	36	0	0	0	0	263	773	0	10	405	0	0	38	0	0	0	0	0	0	0	0	22	0	56	0	0	44	0	1276	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;
45	12	6	74	225	105	0	578	17	102	6	18	4	0	0	1121	40	0	0	0	0	1135	168	311	462	0	211	6	0	244	0	0	112	4	0	0	8	0	0	35	0	152	0	0	118	0	0	0	0	0	139	0	115	0	0	6	11	0	0	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula;
46	64	22	31	68	100	0	209	4	300	0	120	0	0	0	1204	34	0	0	0	0	978	102	42	0	0	295	27	0	81	0	0	140	0	0	243	0	0	543	0	0	57	0	0	92	0	0	37	0	0	146	0	122	0	0	397	0	0	5	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandarakinorhabdus;
47	0	0	0	0	4	0	0	0	0	0	39	146	27	42	0	0	83	181	116	16	0	0	15	21	0	64	0	0	60	0	0	1990	0	0	14	60	0	0	135	0	683	40	0	705	0	0	0	0	0	536	13	338	25	0	0	27	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;
48	486	94	18	19	2330	0	1348	93	0	0	75	24	0	5	288	110	0	0	19	0	19	57	73	40	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__Fuerstia;
